"idD" "idV" "idCNeigh" "distance" "idSectorCN"
"935" "St.Fs.55.06_28_2018" 912 935 43.2718504980832 "c3.l64"
"877" "St.Fs.55.06_28_2018" 891 877 25.3214547242123 "c1.l60"
"878" "St.Fs.55.06_28_2018" 891 878 31.4700334798063 "c2.l60"
"8891" "St.Fs.55.06_28_2018" 891 889 27.6431144879477 "c2.l61"
"9051" "St.Fs.55.06_28_2018" 891 905 27.7924339479447 "c1.l62"
"909" "St.Fs.55.06_28_2018" 891 909 31.2120007246801 "c1.l62"
"919" "St.Fs.55.06_28_2018" 891 919 47.8173455541308 "c1.l63"
"851" "St.Fs.55.06_28_2018" 873 851 49.9091741190961 "c6.l58"
"856" "St.Fs.55.06_28_2018" 873 856 47.11253810803 "c5.l59"
"857" "St.Fs.55.06_28_2018" 873 857 40.6410249332263 "c7.l58"
"863" "St.Fs.55.06_28_2018" 873 863 47.4926513463813 "c4.l59"
"865" "St.Fs.55.06_28_2018" 873 865 37.0728308131614 "c8.l59"
"868" "St.Fs.55.06_28_2018" 873 868 45.2101461226564 "c4.l59"
"872" "St.Fs.55.06_28_2018" 873 872 36.7103274540077 "c8.l59"
"880" "St.Fs.55.06_28_2018" 873 880 42.5387845884914 "c4.l60"
"883" "St.Fs.55.06_28_2018" 873 883 43.280426892264 "c5.l61"
"884" "St.Fs.55.06_28_2018" 873 884 42.7199991403963 "c8.l60"
"890" "St.Fs.55.06_28_2018" 873 890 38.8337251044844 "c5.l61"
"892" "St.Fs.55.06_28_2018" 873 892 40.9003656062492 "c7.l61"
"893" "St.Fs.55.06_28_2018" 873 893 38.4022758383498 "c7.l61"
"894" "St.Fs.55.06_28_2018" 873 894 37.1465399241085 "c6.l61"
"835" "St.Fs.55.06_28_2018" 861 835 43.3073309722878 "c1.l58"
"848" "St.Fs.55.06_28_2018" 861 848 33.6870087248127 "c2.l58"
"858" "St.Fs.55.06_28_2018" 861 858 37.1835280282999 "c3.l59"
"866" "St.Fs.55.06_28_2018" 861 866 31.4291737741997 "c2.l59"
"874" "St.Fs.55.06_28_2018" 861 874 36.1424101849554 "c2.l60"
"8771" "St.Fs.55.06_28_2018" 861 877 36.2908166742852 "c1.l60"
"8781" "St.Fs.55.06_28_2018" 861 878 39.433426387492 "c2.l60"
"805" "St.Fs.55.06_28_2018" 825 805 44.5309530669805 "c2.l55"
"813" "St.Fs.55.06_28_2018" 825 813 35.9407126616003 "c3.l56"
"815" "St.Fs.55.06_28_2018" 825 815 36.9887555678342 "c1.l56"
"824" "St.Fs.55.06_28_2018" 825 824 31.1328417608594 "c1.l57"
"826" "St.Fs.55.06_28_2018" 825 826 35.5136159789802 "c4.l57"
"8351" "St.Fs.55.06_28_2018" 825 835 34.5877921647975 "c1.l58"
"844" "St.Fs.55.06_28_2018" 825 844 40.9470022207837 "c3.l58"
"8481" "St.Fs.55.06_28_2018" 825 848 35.4707475464624 "c2.l58"
"849" "St.Fs.55.06_28_2018" 825 849 40.3953235139441 "c3.l58"
"796" "St.Fs.55.06_28_2018" 814 796 38.41800096299 "c4.l55"
"797" "St.Fs.55.06_28_2018" 814 797 37.9925971185008 "c4.l55"
"802" "St.Fs.55.06_28_2018" 814 802 30.9433142360604 "c5.l55"
"806" "St.Fs.55.06_28_2018" 814 806 35.6178458112374 "c3.l56"
"811" "St.Fs.55.06_28_2018" 814 811 32.7329605472473 "c6.l56"
"8131" "St.Fs.55.06_28_2018" 814 813 30.71327976456 "c3.l56"
"819" "St.Fs.55.06_28_2018" 814 819 36.0146643340447 "c6.l56"
"8261" "St.Fs.55.06_28_2018" 814 826 36.495749089466 "c4.l57"
"831" "St.Fs.55.06_28_2018" 814 831 40.5488567910782 "c5.l57"
"752" "St.Fs.55.06_28_2018" 787 752 47.6201816959322 "c6.l52"
"762" "St.Fs.55.06_28_2018" 787 762 40.3253915037377 "c7.l53"
"770" "St.Fs.55.06_28_2018" 787 770 40.5751195757529 "c5.l53"
"777" "St.Fs.55.06_28_2018" 787 777 32.8666028084998 "c8.l53"
