"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "cell" "nbcell"
"31" "c1.l37" 37 1 "Lz.Fa.73.06_19_18" 999 883 1430.577 1469.19 6.09273997033799 459.45754742744 1452.19356666667 1452.19356666667 -0.90726002966201 466.45754742744 467.364807457102 482.077139153975 488.152774765389 -0.90726002966201 -7 -7 1430.577 1469.19 1452.19356666667 22.6663120749674 16.8706706860275 19.7684913804975 1434.533 1473.253 1453.893 1 0 NA 1 2
"32" "c1.l38" 38 1 "Lz.Fa.73.06_19_18" 1015 939 1469.19 1507.804 0 474.099185844587 1504.80381170253 1487.91840858327 -7 481.099185844587 488.391167058382 NA NA -7 -11.81 -11.81 1469.19 1512.804 1504.804 16.8706706860275 11.81 11.81 1473.253 1516.972 1508.972 1 0 NA 1 2
"33" "c1.l4" 4 1 "Lz.Fa.73.06_19_18" 68 27 156.33 194.944 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 136.747243572235 136.747243572235 136.747243572235 156.33 194.944 183.077942241927 161.803880129927 161.711215645525 161.757547887726 156.794 195.514 176.154 1 0 NA 1 2
"34" "c1.l5" 5 1 "Lz.Fa.73.06_19_18" 75 38 194.944 233.557 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 136.747243572235 134.182436756898 134.182436756898 194.944 233.557 203.2106 161.711215645525 159.267389133887 160.489302389706 195.514 234.233 214.8735 1 0 NA 1 1
"35" "c1.l6" 6 1 "Lz.Fa.73.06_19_18" 97 52 233.557 272.171 141.182436756898 634.626125939245 270.928949441617 270.928949441617 134.182436756898 641.626125939245 507.443689182347 512.984711185876 533.366220364354 134.182436756898 134.182436756898 134.182436756898 233.557 272.171 270.928949441617 159.267389133887 160.264044932715 159.765717033301 234.233 272.952 253.5925 1 0 NA 1 2
"36" "c1.l7" 7 1 "Lz.Fa.73.06_19_18" 105 57 272.171 310.785 142.358545219321 659.099850675409 303.953926018212 248.912363762599 135.358545219321 666.099850675409 533.587768687374 533.366220364354 532.117983929535 134.182436756898 135.358545219321 134.182436756898 272.171 310.785 303.953926018212 160.264044932715 161.379114633475 160.821579783095 272.952 311.672 292.312 1 0 NA 1 1
"37" "c1.l8" 8 1 "Lz.Fa.73.06_19_18" 111 57 310.785 349.398 145.885105561376 659.099850675409 320.302866666667 320.302866666667 138.885105561376 666.099850675409 527.214745114033 532.117983929535 528.526789282866 135.358545219321 138.885105561376 135.358545219321 310.785 349.398 320.302866666667 161.379114633475 164.730065557308 163.054590095392 311.672 350.391 331.0315 1 0 NA 1 1
"38" "c1.l9" 9 1 "Lz.Fa.73.06_19_18" 117 57 349.398 388.012 165.657142073738 659.099850675409 359.333466666667 359.333466666667 158.657142073738 666.099850675409 507.442708601671 528.526789282866 508.731151364845 138.885105561376 158.657142073738 138.885105561376 349.398 388.012 359.333466666667 164.730065557308 183.534095375479 174.132080466394 350.391 389.11 369.7505 1 0 NA 1 2
"39" "c10.l1" 1 10 "Lz.Fa.73.06_19_18" NA 1 32.643 71.514 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 437.95858626461 428.586644045122 433.272615154866 27.643 72.005 52.0785 469.60079582495 460.998146927134 465.299471376042 26.643 71.0285 51.093 0 0 NA 0 0
"40" "c10.l10" 10 10 "Lz.Fa.73.06_19_18" 122 57 382.479 421.35 167.794219598338 659.099850675409 398.3641 398.3641 160.794219598338 666.099850675409 505.305631077071 508.731151364845 512.177232159253 439.06975270604 437.442279865592 438.256016285816 382.479 421.35 401.9145 473.103866732348 471.706936697046 472.405401714697 381.741 420.641 401.191 0 0 NA 0 0
"41" "c10.l11" 11 10 "Lz.Fa.73.06_19_18" 129 57 421.35 460.221 162.130189499412 659.099850675409 437.394866666667 437.394866666667 155.130189499412 666.099850675409 510.969661175997 512.177232159253 512.107375782963 437.442279865592 437.403775030981 437.423027448287 421.35 460.221 440.7855 471.706936697046 471.663758470862 471.685347583954 420.641 459.541 440.091 0 0 NA 0 0
"42" "c10.l12" 12 10 "Lz.Fa.73.06_19_18" 136 57 460.221 499.091 167.687728536958 659.099850675409 476.425666666667 476.425666666667 160.687728536958 666.099850675409 505.412122138451 512.107375782963 520.99805177999 437.403775030981 433.327295670727 435.365535350854 460.221 499.091 479.656 471.663758470862 468.182065334809 469.922911902835 459.541 498.441 478.991 0 0 NA 0 0
"43" "c10.l13" 13 10 "Lz.Fa.73.06_19_18" 150 57 499.091 537.962 153.153169529597 659.099850675409 515.456466666667 515.456466666667 146.153169529597 666.099850675409 519.946681145812 520.99805177999 534.482144914978 433.327295670727 427.185941745414 430.256618708071 499.091 537.962 518.5265 468.182065334809 462.942797240226 465.562431287517 498.441 537.341 517.891 0 0 NA 0 0
"44" "c10.l14" 14 10 "Lz.Fa.73.06_19_18" 168 57 537.962 576.833 139.579383468278 659.099850675409 554.487133333333 554.487133333333 132.579383468278 666.099850675409 533.520467207131 534.482144914978 574.329871688715 427.185941745414 409.178598659909 418.182270202661 537.962 576.833 557.3975 462.942797240226 447.601267075884 455.272032158055 537.341 576.24 556.7905 0 0 NA 0 0
"45" "c10.l15" 15 10 "Lz.Fa.73.06_19_18" 209 57 576.833 615.703 99.6079733850891 659.099850675409 593.5177 593.5177 92.6079733850891 666.099850675409 573.49187729032 574.329871688715 604.054248364721 409.178598659909 395.744785665043 402.461692162476 576.833 615.703 596.268 447.601267075884 436.156014880643 441.878640978263 576.24 615.14 595.69 0 0 NA 0 0
"46" "c10.l16" 16 10 "Lz.Fa.73.06_19_18" 225 57 615.703 654.574 69.7900839664094 621.021422176515 632.548433333333 632.548433333333 62.7900839664094 628.021422176515 565.231338210106 604.054248364721 581.876779395746 395.744785665043 367.595542363853 381.670164014448 615.703 654.574 635.1385 436.156014880643 406.523098905429 421.339556893036 615.14 654.04 634.59 1 0 NA 1 1
"47" "c10.l17" 17 10 "Lz.Fa.73.06_19_18" 255 57 654.574 693.444 53.8650615609185 603.876202473692 690.842031612065 650.122438473323 46.8650615609185 610.876202473692 565.479135193433 581.876779395746 573.346935688689 367.595542363853 354.23791465593 360.916728509891 654.574 693.444 674.009 406.523098905429 392.594824653503 399.558961779466 654.04 692.94 673.49 1 0 NA 1 2
"48" "c10.l18" 18 10 "Lz.Fa.73.06_19_18" 272 187 693.444 732.315 45.2090837043245 575.202936992375 723.011157374916 679.512794717402 38.2090837043245 582.202936992375 545.730171393396 573.346935688689 545.939079477269 354.23791465593 337.847516439986 346.042715547958 693.444 732.315 712.8795 392.594824653503 374.370840857015 383.482832755259 692.94 731.839 712.3895 1 0 NA 1 4
"49" "c10.l19" 19 10 "Lz.Fa.73.06_19_18" 292 214 732.315 771.186 43.9258958321154 556.286162945351 749.640566666667 749.640566666667 36.9258958321154 563.286162945351 526.360267113236 545.939079477269 534.786842426027 337.847516439986 323.898707405409 330.873111922698 732.315 771.186 751.7505 374.370840857015 359.67594716371 367.023394010363 731.839 770.739 751.289 1 0 NA 1 3
"50" "c10.l2" 2 10 "Lz.Fa.73.06_19_18" 43 7 71.514 110.385 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 428.586644045122 425.271143532185 426.928893788653 72.005 110.385 91.195 460.998146927134 458.759019168842 459.878583047988 71.0285 109.443 90.23575 0 0 NA 0 0
"51" "c10.l20" 20 10 "Lz.Fa.73.06_19_18" 323 237 771.186 810.056 36.1241998601833 543.033222881118 804.557030829914 782.541033499301 29.1241998601833 550.033222881118 521.37406379977 534.786842426027 521.499517127892 323.898707405409 316.574733701077 320.236720553243 771.186 810.056 790.621 359.67594716371 351.463051396933 355.569499280322 770.739 809.639 790.189 1 0 NA 1 3
"52" "c10.l21" 21 10 "Lz.Fa.73.06_19_18" 323 256 810.056 848.927 36.1241998601833 540.04088289118 804.557030829914 791.411954640007 29.1241998601833 547.04088289118 518.083471643198 521.499517127892 518.462138191237 316.574733701077 314.900530431193 315.737632066135 810.056 848.927 829.4915 351.463051396933 349.585647476187 350.52434943656 809.639 848.539 829.089 1 0 NA 1 5
"53" "c10.l22" 22 10 "Lz.Fa.73.06_19_18" 413 286 848.927 887.798 46.8117447606737 522.406904484095 866.7329 866.7329 39.8117447606737 529.406904484095 489.595159723421 518.462138191237 490.123065146502 314.900530431193 309.967578269426 312.43405435031 848.927 887.798 868.3625 349.585647476187 342.756811327727 346.171229401957 848.539 887.439 867.989 1 0 NA 1 5
