"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"529" "c8.l6" 6 8 "Lz.Fa.73.06_19_18" 97 52 229.001 267.872 141.182436756898 634.626125939245 270.928949441617 270.928949441617 134.182436756898 641.626125939245 507.443689182347 512.984711185876 533.366220364354 342.762020325075 351.049141957044 346.90558114106 229.001 267.872 248.4365 393.188417434647 403.47904141886 398.333729426754 227.907 266.76 247.3335 0 1 36 0 NA 2 -3 3
"533" "c9.l1" 1 9 "Lz.Fa.73.06_19_18" NA 1 33.643 72.496 184.25326623981 641.038339093723 58.3537676619613 58.3537676619613 177.25326623981 648.038339093723 474.387760194559 472.977721380261 488.522231571501 416.059717764704 406.155364771024 411.107541267864 28.643 73.0055 53.0695 437.95858626461 428.586644045122 433.272615154866 27.643 72.005 52.0785 0 1 36 0 NA 1 2 2
"544" "c9.l2" 2 9 "Lz.Fa.73.06_19_18" 43 7 72.496 111.349 168.542991002296 641.038339093723 103.562655250151 39.1171281985271 161.542991002296 648.038339093723 490.745300203232 488.522231571501 500.566153014303 406.155364771024 402.094930647623 404.125147709323 73.0055 111.349 92.17725 428.586644045122 425.271143532185 426.928893788653 72.005 110.385 91.195 0 1 36 0 NA 1 1 1
"555" "c9.l3" 3 9 "Lz.Fa.73.06_19_18" 60 12 111.349 150.202 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 402.094930647623 395.46085907282 398.777894860221 111.349 150.202 130.7755 425.271143532185 419.185240926012 422.228192229099 110.385 149.255 129.82 0 1 36 0 NA 1 0 1
"565" "c9.l4" 4 9 "Lz.Fa.73.06_19_18" 68 27 150.202 189.055 143.747243572235 630.991897838999 183.077942241927 183.077942241927 136.747243572235 637.991897838999 501.244654266764 512.405655576519 510.51067634539 395.46085907282 394.504084059022 394.982471565921 150.202 189.055 169.6285 419.185240926012 418.140728373814 418.662984649913 149.255 188.126 168.6905 0 1 36 0 NA 1 -1 1
"566" "c9.l5" 5 9 "Lz.Fa.73.06_19_18" 75 38 189.055 227.907 148.557384018769 638.580219455901 203.2106 203.2106 141.557384018769 645.580219455901 504.022835437132 510.51067634539 512.984711185876 394.504084059022 393.188417434647 393.846250746835 189.055 227.907 208.481 418.140728373814 416.939609562553 417.540168968183 188.126 226.997 207.5615 0 1 36 0 NA 1 -2 2
"567" "c9.l6" 6 9 "Lz.Fa.73.06_19_18" 97 52 227.907 266.76 141.182436756898 634.626125939245 270.928949441617 270.928949441617 134.182436756898 641.626125939245 507.443689182347 512.984711185876 533.366220364354 393.188417434647 403.47904141886 398.333729426754 227.907 266.76 247.3335 416.939609562553 428.17389742173 422.556753492141 226.997 265.867 246.432 0 1 36 0 NA 1 -3 3
"568" "c9.l7" 7 9 "Lz.Fa.73.06_19_18" 105 57 266.76 305.613 142.358545219321 659.099850675409 303.953926018212 248.912363762599 135.358545219321 666.099850675409 533.587768687374 533.366220364354 532.117983929535 403.47904141886 404.024915305343 403.751978362102 266.76 305.613 286.1865 428.17389742173 428.66197796128 428.417937691505 265.867 304.738 285.3025 1 1 36 1 NA 1 -4 4
"569" "c9.l8" 8 9 "Lz.Fa.73.06_19_18" 111 57 305.613 344.466 145.885105561376 659.099850675409 320.302866666667 320.302866666667 138.885105561376 666.099850675409 527.214745114033 532.117983929535 528.526789282866 404.024915305343 405.738281470295 404.881598387819 305.613 344.466 325.0395 428.66197796128 430.209071814092 429.435524887686 304.738 343.609 324.1735 0 1 36 0 NA 1 -5 5
"78" "c11.l10" 10 11 "Lz.Fa.73.06_19_18" 122 57 381.741 420.641 167.794219598338 659.099850675409 398.3641 398.3641 160.794219598338 666.099850675409 505.305631077071 508.731151364845 512.177232159253 473.103866732348 471.706936697046 472.405401714697 381.741 420.641 401.191 515.175932950221 514.063993796616 514.619963373419 363.239 402.776 383.0075 0 1 110 0 NA 3 1 3
