"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"386" "c5.l10" 10 5 "St.Fs.55.06_28_2018" 152 169 264.211 294.234 57.4324458191198 246.422014443383 279.570120321721 303.370226859611 50.4324458191198 253.422014443383 204.380062729904 204.223070964728 204.271651436293 150.99138249639 150.966874524639 150.979128510514 264.211 294.234 279.2225 170.562443607336 170.545569504954 170.554006556145 269.457 299.437 284.447 1 1 163 1 NA 1 0 1
"387" "c5.l11" 11 5 "St.Fs.55.06_28_2018" 164 184 294.234 324.257 57.3687139247495 242.286242556871 301.630789016157 334.11527850866 50.3687139247495 249.286242556871 201.552537207298 204.271651436293 207.142622477533 150.966874524639 145.805578162741 148.38622634369 294.234 324.257 309.2455 170.545569504954 165.668831535835 168.107200520395 299.437 329.418 314.4275 0 1 163 0 NA 1 -1 1
"482" "c6.l10" 10 6 "St.Fs.55.06_28_2018" 152 169 269.457 299.437 57.4324458191198 246.422014443383 279.570120321721 303.370226859611 50.4324458191198 253.422014443383 204.380062729904 204.223070964728 204.271651436293 170.562443607336 170.545569504954 170.554006556145 269.457 299.437 284.447 198.103163624285 198.0970320288 198.100097826543 278.997 308.888 293.9425 0 1 163 0 1 0 0 0
"483" "c6.l11" 11 6 "St.Fs.55.06_28_2018" 164 184 299.437 329.418 57.3687139247495 242.286242556871 301.630789016157 334.11527850866 50.3687139247495 249.286242556871 201.552537207298 204.271651436293 207.142622477533 170.545569504954 165.668831535835 168.107200520395 299.437 329.418 314.4275 198.0970320288 193.620729323746 195.858880676273 308.888 338.779 323.8335 0 1 163 0 NA 0 -1 1
"569" "c6.l9" 9 6 "St.Fs.55.06_28_2018" 138 159 239.476 269.457 58.55675436446 240.644062921204 258.629830655748 258.629830655748 51.55675436446 247.644062921204 196.087308556744 202.596663659258 204.223070964728 170.68892847995 170.562443607336 170.625686043643 239.476 269.457 254.4665 198.000889794637 198.103163624285 198.052026709461 249.106 278.997 264.0515 1 1 163 3 NA 0 1 1
"578" "c7.l10" 10 7 "St.Fs.55.06_28_2018" 152 169 278.997 308.888 57.4324458191198 246.422014443383 279.570120321721 303.370226859611 50.4324458191198 253.422014443383 204.380062729904 204.223070964728 204.271651436293 198.103163624285 198.0970320288 198.100097826543 278.997 308.888 293.9425 227.419402587381 227.424706056015 227.422054321698 290.045 319.842 304.9435 1 1 163 1 NA -1 0 1
"579" "c7.l11" 11 7 "St.Fs.55.06_28_2018" 164 184 308.888 338.779 57.3687139247495 242.286242556871 301.630789016157 334.11527850866 50.3687139247495 249.286242556871 201.552537207298 204.271651436293 207.142622477533 198.0970320288 193.620729323746 195.858880676273 308.888 338.779 323.8335 227.424706056015 223.374654221793 225.399680138904 319.842 349.638 334.74 1 1 163 1 NA -1 -1 1
"3861" "c5.l10" 10 5 "St.Fs.55.06_28_2018" 152 169 264.211 294.234 57.4324458191198 246.422014443383 279.570120321721 303.370226859611 50.4324458191198 253.422014443383 204.380062729904 204.223070964728 204.271651436293 150.99138249639 150.966874524639 150.979128510514 264.211 294.234 279.2225 170.562443607336 170.545569504954 170.554006556145 269.457 299.437 284.447 1 1 176 1 NA 0 1 1
"3871" "c5.l11" 11 5 "St.Fs.55.06_28_2018" 164 184 294.234 324.257 57.3687139247495 242.286242556871 301.630789016157 334.11527850866 50.3687139247495 249.286242556871 201.552537207298 204.271651436293 207.142622477533 150.966874524639 145.805578162741 148.38622634369 294.234 324.257 309.2455 170.545569504954 165.668831535835 168.107200520395 299.437 329.418 314.4275 0 1 176 0 1 0 0 0
"388" "c5.l12" 12 5 "St.Fs.55.06_28_2018" 190 195 324.257 354.281 50.7453154704735 242.701130835978 355.774965415063 366.196595871198 43.7453154704735 249.701130835978 206.219320783078 207.142622477533 209.450511131578 145.805578162741 146.983010292106 146.394294227424 324.257 354.281 339.269 165.668831535835 167.075418794711 166.372125165273 329.418 359.398 344.408 0 1 176 0 NA 0 -1 1
"4821" "c6.l10" 10 6 "St.Fs.55.06_28_2018" 152 169 269.457 299.437 57.4324458191198 246.422014443383 279.570120321721 303.370226859611 50.4324458191198 253.422014443383 204.380062729904 204.223070964728 204.271651436293 170.562443607336 170.545569504954 170.554006556145 269.457 299.437 284.447 198.103163624285 198.0970320288 198.100097826543 278.997 308.888 293.9425 0 1 176 0 NA -1 1 1
"4831" "c6.l11" 11 6 "St.Fs.55.06_28_2018" 164 184 299.437 329.418 57.3687139247495 242.286242556871 301.630789016157 334.11527850866 50.3687139247495 249.286242556871 201.552537207298 204.271651436293 207.142622477533 170.545569504954 165.668831535835 168.107200520395 299.437 329.418 314.4275 198.0970320288 193.620729323746 195.858880676273 308.888 338.779 323.8335 0 1 176 0 NA -1 0 1
"484" "c6.l12" 12 6 "St.Fs.55.06_28_2018" 190 195 329.418 359.398 50.7453154704735 242.701130835978 355.774965415063 366.196595871198 43.7453154704735 249.701130835978 206.219320783078 207.142622477533 209.450511131578 165.668831535835 167.075418794711 166.372125165273 329.418 359.398 344.408 193.620729323746 195.349787460748 194.485258392247 338.779 368.67 353.7245 0 1 176 0 NA -1 -1 1
"196" "c3.l12" 12 3 "St.Fs.55.06_28_2018" 190 195 328.524 358.474 50.7453154704735 242.701130835978 355.774965415063 366.196595871198 43.7453154704735 249.701130835978 206.219320783078 207.142622477533 209.450511131578 99.0143060415873 99.651924283392 99.3331151624897 328.524 358.474 343.499 123.894566709947 124.819219469645 124.356893089796 324.925 354.918 339.9215 0 1 183 0 NA 1 0 1
"292" "c4.l12" 12 4 "St.Fs.55.06_28_2018" 190 195 324.925 354.918 50.7453154704735 242.701130835978 355.774965415063 366.196595871198 43.7453154704735 249.701130835978 206.219320783078 207.142622477533 209.450511131578 123.894566709947 124.819219469645 124.356893089796 324.925 354.918 339.9215 145.805578162741 146.983010292106 146.394294227424 324.257 354.281 339.269 0 1 183 0 1 0 0 0
"3881" "c5.l12" 12 5 "St.Fs.55.06_28_2018" 190 195 324.257 354.281 50.7453154704735 242.701130835978 355.774965415063 366.196595871198 43.7453154704735 249.701130835978 206.219320783078 207.142622477533 209.450511131578 145.805578162741 146.983010292106 146.394294227424 324.257 354.281 339.269 165.668831535835 167.075418794711 166.372125165273 329.418 359.398 344.408 0 1 183 0 NA -1 0 1
"5791" "c7.l11" 11 7 "St.Fs.55.06_28_2018" 164 184 308.888 338.779 57.3687139247495 242.286242556871 301.630789016157 334.11527850866 50.3687139247495 249.286242556871 201.552537207298 204.271651436293 207.142622477533 198.0970320288 193.620729323746 195.858880676273 308.888 338.779 323.8335 227.424706056015 223.374654221793 225.399680138904 319.842 349.638 334.74 1 1 189 1 NA 0 1 1
